slice,spec,coef,stderr,pval,nobs
all_ages,state_specific_corrected,-0.04933984963760693,0.019900843339597612,0.013164630607758368,13443
all_ages,holzer_june_vs_maintainers,-0.07968696686679336,0.039634342534107185,0.04437263781210001,12522
prime_age,state_specific_corrected,-0.06983414571512567,0.02253651172770477,0.0019436425353029755,7673
prime_age,holzer_june_vs_maintainers,-0.10862974566501275,0.05945704478626255,0.06769540773190777,7147
no_college,state_specific_corrected,-0.05220065467417501,0.02284449925135597,0.02231032816159664,10076
no_college,holzer_june_vs_maintainers,-0.06057645171244829,0.04911292509441313,0.2174222378804349,9350
prime_age_no_college,state_specific_corrected,-0.082779693092695,0.029743055723263252,0.005383219511837185,5611
prime_age_no_college,holzer_june_vs_maintainers,-0.11824349513260822,0.08548528581659812,0.16660266120341605,5209
young_18_24,state_specific_corrected,-0.024712937979217253,0.022275259955045815,0.2672428618634255,2370
young_18_24,holzer_june_vs_maintainers,-0.05941251611662031,0.11418084280584408,0.6028287183548403,2189
older_55_plus,state_specific_corrected,-0.0013691333782499156,0.048017708133550184,0.9772529255617114,2913
older_55_plus,holzer_june_vs_maintainers,0.054196724950647625,0.1533591013153767,0.7237904502826391,2740
